job_id,method,organ,views,status,psnr_2d,ssim_2d,eval_path,output_dir,source,finished_at
DNGS__foot__3views,DNGS,foot,3,completed,28.179201126098633,0.8951730132102966,/root/experiments/results/DNGS/foot_3views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/foot_3views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__foot__6views,DNGS,foot,6,completed,32.159812927246094,0.936510443687439,/root/experiments/results/DNGS/foot_6views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/foot_6views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__foot__9views,DNGS,foot,9,completed,34.122737884521484,0.9520454406738281,/root/experiments/results/DNGS/foot_9views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/foot_9views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__head__3views,DNGS,head,3,completed,26.773653030395508,0.9264779686927795,/root/experiments/results/DNGS/head_3views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/head_3views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__head__6views,DNGS,head,6,completed,32.98817825317383,0.9725309610366821,/root/experiments/results/DNGS/head_6views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/head_6views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__head__9views,DNGS,head,9,completed,35.58407211303711,0.9809391498565674,/root/experiments/results/DNGS/head_9views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/head_9views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__pancreas__3views,DNGS,pancreas,3,completed,28.463159561157227,0.9256758093833923,/root/experiments/results/DNGS/pancreas_3views/eval/iter_005000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/pancreas_3views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__pancreas__6views,DNGS,pancreas,6,completed,33.66341018676758,0.9531686902046204,/root/experiments/results/DNGS/pancreas_6views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/pancreas_6views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__pancreas__9views,DNGS,pancreas,9,completed,35.63827133178711,0.9623944759368896,/root/experiments/results/DNGS/pancreas_9views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/pancreas_9views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__abdomen__3views,FSGS,abdomen,3,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/abdomen_3views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/abdomen_3views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__abdomen__6views,FSGS,abdomen,6,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/abdomen_6views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/abdomen_6views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__abdomen__9views,FSGS,abdomen,9,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/abdomen_9views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/abdomen_9views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__chest__3views,FSGS,chest,3,failed,,,/root/r2_gaussian/experiments/matrix_results/FSGS/chest_3views/eval/iter_30000/eval2d_render_test.yml,/root/r2_gaussian/experiments/matrix_results/FSGS/chest_3views,runner,2026-03-24T08:15:45Z
